1816,1115
50032,60158
50117,4
50127,1352
50133,1564
50177,630
50292,50136
50338,104
50339,104
50557,9884
50598,399
50615,50686
50619,50615
50621,60085
50622,60085
50623,731
50624,60085
50625,3117
50669,1969
50671,1612
50686,162
50687,162
50696,60038
50701,1826
50702,50701
50704,50701
50721,9252
50735,50177
50736,50739
50737,50739
50739,50177
50820,10273
50826,4079
50828,178
50836,543
50902,4706
50950,50951
50951,1289
50952,50951
60036,50700
60038,60037
60043,150
60044,60043
60053,870
60056,2914
60058,2531
60060,60058
60071,14566
60073,60083
60082,60097
60084,60072
60085,60072
60086,50622
60087,50622
60089,60085
60090,60115
60091,60085
60094,60123
60095,60086
60103,3620
60109,60086
60111,60086
60112,60086
60114,60086
60119,3119
60123,60099
60125,2916
60158,14667
60159,9252
60180,50589
60262,77
60264,1289
60379,1934
60388,80014
60429,80014
60440,2566
60441,2566
60442,2566
60503,3044
60513,3044
60524,60495
70004,4960
80001,65
80005,80001
80008,80001
80010,80001
80014,630
80015,4
80019,2256
80027,2256
10021,10154
10123,37
10124,5614
10132,60043
10154,10155
1024,50338
10273,1287
10283,3856
10286,10283
10316,3082
1037,1240
1040,1037
10534,3119
10579,1443
10595,440
10609,80005
1067,1686
1073,11130
10763,50828
1080,883
10854,403
1091,403
10937,150
10944,403
1100,229
11030,10124
11054,3996
1107,5041
11077,50338
11102,50338
11104,50338
1115,50687
11162,850
11184,6195
1123,381
11239,10155
11335,2916
11343,5614
114,1287
1140,5612
11465,574
11595,11343
1168,3146
117,176
11702,6025
11705,557
1188,870
119,120
1192,3093
11963,6050
11971,1934
11976,50338
120,193
1205,60056
1210,1891
12161,8466
12176,50
12336,48
12365,2789
1237,10124
12377,231
12397,530
1240,2531
1242,5614
12449,2355
1245,120
1247,74
127,60084
12798,3211
1284,229
1285,5295
1287,7
1289,331
1294,1245
12960,11971
1319,3620
13223,60095
1324,50615
13250,77
13359,854
13399,1432
1350,50621
13564,2473
1357,50619
1383,37
1387,3146
1389,574
1393,5614
1398,50117
1400,5614
1405,13550
14110,5672
1426,18
1428,26
14330,50890
1441,50951
1443,936
1459,50
1468,3930
14749,60159
1483,3388
150,4
1508,2473
1510,150
1520,219
1529,48
154,50687
1561,150
1564,50117
1570,530
1579,7
1602,9942
161,37
1612,5093
1626,1628
1659,1319
1660,5032
1679,365
1682,114
1686,8466
169,170
170,50686
1729,341
174,3168
1749,305
175,176
1756,5656
178,1287
1787,50829
1790,50687
1793,170
1799,1793
18,7
1826,936
184,201
1891,5656
1894,9423
1909,50687
1923,2277
1927,9455
1934,80006
1963,1964
1964,120
1967,4230
1969,936
1993,9256
200,201
2007,4448
201,60100
2030,1561
2033,60038
204,65
205,80005
2059,229
2095,4159
2101,1294
2113,2789
2115,612
2123,50338
214,1091
2146,2394
2149,50598
2152,2394
2154,263
216,214
2174,60116
219,9256
2214,1247
2218,2213
2234,1826
2237,409
225,4
2253,345
2256,80006
229,15
231,1289
2345,655
2349,50828
235,4610
2355,74
2377,3213
2394,120
240,3480
2462,5679
2468,1561
2473,50136
2475,6195
2490,80015
2513,3451
2519,48
2526,10286
2529,75
2531,60083
2537,870
254,255
255,60084
2566,10124
2583,2115
2596,50615
2598,50621
26,28
2600,2596
2615,60084
263,3996
264,201
2645,60084
2664,3165
2683,60084
272,178
2723,37
2730,2731
2742,50155
2747,50728
2789,1398
2797,552
28,7
2834,8432
2841,1176
2860,589
2870,2871
2871,1380
289,229
2893,4362
2914,7
2916,60056
2921,10952
2952,2742
2965,381
2978,655
299,305
2994,50687
2998,3856
3017,1612
302,303
3044,1205
305,50687
3068,3069
3069,3070
3070,50687
3082,850
3093,50686
3116,731
3119,50686
3121,4607
3133,13268
3146,655
3151,3451
3153,37
3165,60121
3185,5612
319,331
3192,2001
3211,655
3225,974
3247,4043
3275,3277
3284,3277
3307,3095
331,863
3315,60084
332,231
3324,1561
3342,80001
3347,184
3350,50687
3355,201
3371,201
3378,3376
338,3620
3382,3939
3393,50828
3405,75
341,178
3418,5656
3419,338
345,229
3451,4159
3458,3459
3459,1612
3463,60118
3479,2174
3498,4074
3500,4948
3502,4932
3527,13089
3540,3541
3565,3620
3571,3119
3594,2021
3620,3093
363,120
365,18
368,1659
3683,50621
37,16
3700,5727
3701,3702
3702,2893
3706,1963
3711,4007
3713,4001
3717,5517
3744,2893
381,3342
3829,60089
3856,193
3905,1324
3908,3905
3910,3908
3952,9553
3953,170
3963,1781
3969,3963
3996,50686
3999,1294
4001,2151
4007,11054
4029,76
403,77
404,50599
4050,5559
4054,10283
4074,4905
4079,114
409,3118
4090,2033
4110,1398
4123,16
4138,9741
4159,60122
4166,50338
417,60056
4194,50013
4203,4706
4205,4706
4223,2723
423,66
4242,263
4251,5614
4254,80005
4330,3405
4362,120
440,870
4437,3842
4439,3620
4448,8466
4450,4451
447,557
4483,2163
4501,630
4549,3371
4556,3908
461,60099
4610,50624
4677,10124
4680,3459
4691,5559
4706,1319
471,3165
4737,150
4757,50622
48,15
480,936
483,484
4844,60101
